language,timestamp,consent,state,n_projects,skill_cleaning,skill_normalization,skill_outliers,skill_integration,skill_transformation,skill_validation,skill_pipelines,skill_monitoring,skill_libs,skill_split,word_1,word_2,word_3,word_4,word_5,re_experience,imp_precision,imp_completeness,imp_consistency,imp_credibility,imp_currentness,imp_accessibility,imp_compliance,imp_reliability,imp_efficiency,imp_traceability,imp_understandability,imp_availability,imp_recoverability,imp_justification,pri_precision,pri_completeness,pri_consistency,pri_credibility,pri_currentness,pri_accessibility,pri_compliance,pri_reliability,pri_efficiency,pri_traceability,pri_understandability,pri_availability,pri_recoverability,pri_justification,balance_open,incorporation_open,measurement_open,discussion_freq,documentation_open,challenges_open,support_freq,country,region,norm_country,seniority_norm,role_group,gender_norm,age_band,education_norm,versioning_norm,seniority_ordinal,seniority_group
pt,2025-02-14 15:15:25,Aceito participar,CE,2,3,3,3,3,3,3,3,3,3,3,precisão,consistência,completude,relevância,viés,"Sim, foi uma ótima experiência, embora complicada.",4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,,"Equilibrar precisão, compreensibilidade e eficiência computacional exige escolhas estratégicas. Para modelos críticos, como risco de crédito, priorizamos interpretabilidade (árvores de decisão). Em visão computacional móvel, sacrificamos um pouco de precisão por eficiência (MobileNet). Já em detecção de fraudes, combinamos regras simples (rápidas e explicáveis) com machine learning sofisticado.","Avaliação inicial durante a coleta e preparação de dados, Monitoramento contínuo durante todo o ciclo de vida do modelo, Conjuntos de testes são aplicados para validar a consistência, completude e precisão dos dados antes de serem usados no treinamento.","Análise de métricas de performance (ex.: precisão, recall), Revisão manual dos resultados",3,"Linguagem estruturada (texto), Ferramentas de Gerenciamento de Projetos (Jira, Trello ou Asana), Documentação Centralizada (Sistemas como Confluence, Google Docs ou Notion)","Inconsistência entre diferentes fontes de dados, Erros introduzidos durante a coleta e processamento",2,Brazil,Northeast,Brazil,Junior (up to 5 years),Data Scientist,male,18-24,Undergraduate,ensures_consistency_traceability,2,Junior (up to 5 years)
pt,2025-02-14 15:46:32,Aceito participar,PE,2,5,5,5,3,4,4,3,3,4,5,fonte,estabilidade,necessário,essencial,determinante,Não ,5,4,5,5,5,5,5,5,5,4,5,5,5,,5,4,5,5,5,5,5,5,5,4,5,5,4,,"A prioridade é na precisão dos dados, seguido de compreensibilidade e eficiência ","Avaliação inicial durante a coleta e preparação de dados, Monitoramento contínuo durante todo o ciclo de vida do modelo","Análise de métricas de performance (ex.: precisão, recall), Revisão manual dos resultados",4,"Linguagem estruturada (texto), Reuniões de Alinhamento, Relatórios Periódicos","Dados incompletos ou ausentes, Dados desatualizados ou não confiáveis, Falta de ferramentas adequadas para validação da qualidade dos dados",2,Brazil,Northeast,Brazil,Junior (up to 5 years),Data Scientist,female,25-34,Doctoral student,ensures_consistency_traceability,2,Junior (up to 5 years)
pt,2025-02-14 15:53:04,Aceito participar,CE,13,5,5,5,4,5,5,3,3,4,5,confiabilidade,disponibilidade,atualização,integridade,processamento,"Geralmente,  são os primeiros passos quando começamos um projeto aqui.",5,5,5,5,5,5,5,5,5,5,5,5,5,,4,4,4,5,5,5,5,5,3,4,4,4,4,,Tudo vai depender de como nossa aplicação precisará responder ao usuário ,"Avaliação inicial durante a coleta e preparação de dados, Monitoramento contínuo durante todo o ciclo de vida do modelo, Conjuntos de testes são aplicados para validar a consistência, completude e precisão dos dados antes de serem usados no treinamento.","Análise de métricas de performance (ex.: precisão, recall)",3,"Linguagem estruturada (texto), Ferramentas de Gerenciamento de Projetos (Jira, Trello ou Asana), Documentação Centralizada (Sistemas como Confluence, Google Docs ou Notion), Reuniões de Alinhamento","Inconsistência entre diferentes fontes de dados, Erros introduzidos durante a coleta e processamento",4,Brazil,Northeast,Brazil,Full (6 to 9 years),Data Scientist,male,25-34,Master,ensures_consistency_traceability,3,Full (6 to 9 years)
pt,2025-02-14 17:01:56,Aceito participar,CE,6,4,4,4,4,4,5,3,4,4,5,ruído,sinal,teste,informação,validação,"Trabalho em um projeto a dois anos onde desenvolvemos uma ferramenta que utiliza ML e visão computacional. Durante esses dois anos só foram levantados requisitos dos softwares que envolviam a ferramenta (web, mobile, api) mas não do modelo de ML em si, que era desenvolvido exclusivamente pela equipe de IA. Apenas durante os últimos meses levantei a necessidade de termos requisitos claros estabelecidos para o modelo, para alinhar o comportamento e performance desse as expectativas dos stakeholders. Realizei pessoalmente, com auxílio do time de QA, a definição e documentação de requisitos do modelo. A partir disso, ficou muito claro como e o que era necessário testar no modelo para garantir a qualidade. Isso nos permitiu ir além das métricas tradicionais obtidas com hold-out validation e obter análises mais completas.",5,4,5,5,4,4,4,5,4,4,4,4,4,,5,4,5,5,3,3,2,4,4,3,2,3,3,,,Avaliação inicial durante a coleta e preparação de dados,"Análise de métricas de performance (ex.: precisão, recall), Revisão manual dos resultados",4,"Documentação Centralizada (Sistemas como Confluence, Google Docs ou Notion), Reuniões de Alinhamento, Relatórios Periódicos","Dados incompletos ou ausentes, Falta de padronização nos formatos de dados, Falta de ferramentas adequadas para validação da qualidade dos dados",2,Brazil,Northeast,Brazil,Full (6 to 9 years),Data Scientist,male,25-34,Doctoral student,ensures_consistency_traceability,3,Full (6 to 9 years)
pt,2025-02-14 18:42:17,Aceito participar,CE,5,5,4,3,3,3,3,2,2,4,5,precisão,consistência,completude,relevância,atualização,Já participei de todas as fases do ciclo de um projeto em Ciência de Dados.,5,5,5,5,2,3,3,4,4,3,3,3,3,,5,5,5,3,3,3,3,4,3,3,3,3,3,,"Equilibrar precisão, compreensibilidade e eficiência computacional no desenvolvimento de sistemas de aprendizado de máquina exige decisões estratégicas que dependem do contexto do projeto.","Avaliação inicial durante a coleta e preparação de dados, Monitoramento contínuo durante todo o ciclo de vida do modelo","Análise de métricas de performance (ex.: precisão, recall), Revisão manual dos resultados",3,"Linguagem estruturada (texto), Reuniões de Alinhamento","Inconsistência entre diferentes fontes de dados, Dados incompletos ou ausentes, Falta de padronização nos formatos de dados",1,Brazil,Northeast,Brazil,Senior (10+ years),Data Scientist,male,25-34,Doctoral student,eliminates_documentation_need,4,Senior (10+ years)
pt,2025-02-14 19:14:48,Aceito participar,CE,2,3,4,3,4,4,4,4,3,4,4,consistência,precisão,completude,relevância,atualização,Não ,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,,"Equilibrar precisão, compreensibilidade e eficiência computacional em aprendizado de máquina exige priorização baseada no contexto do projeto. Uso técnicas como seleção de features, redução de dimensionalidade e limpeza de dados para manter a representatividade sem comprometer a interpretabilidade. Modelos mais simples podem ser preferíveis quando a explicabilidade é essencial, enquanto modelos complexos são escolhidos quando a precisão é prioridade. Além disso, monitoro continuamente o desempenho do sistema para ajustar esse equilíbrio conforme necessário.","Monitoramento contínuo durante todo o ciclo de vida do modelo, Conjuntos de testes são aplicados para validar a consistência, completude e precisão dos dados antes de serem usados no treinamento.","Análise de métricas de performance (ex.: precisão, recall), Revisão manual dos resultados",2,"Ferramentas de Gerenciamento de Projetos (Jira, Trello ou Asana)","Inconsistência entre diferentes fontes de dados, Dados incompletos ou ausentes, Falta de padronização nos formatos de dados, Erros introduzidos durante a coleta e processamento",1,Brazil,Northeast,Brazil,Junior (up to 5 years),Data Scientist,male,25-34,Doctoral student,ensures_consistency_traceability,2,Junior (up to 5 years)
pt,2025-02-15 10:11:29,Aceito participar,CE,3,3,3,5,5,3,4,3,5,4,5,treino,acurácia,split,diversas fontes,filtros,Não,5,5,5,4,4,3,3,5,5,4,3,5,3,,5,4,4,5,3,3,3,5,4,3,3,5,3,,.,"Avaliação inicial durante a coleta e preparação de dados, Conjuntos de testes são aplicados para validar a consistência, completude e precisão dos dados antes de serem usados no treinamento.","Análise de métricas de performance (ex.: precisão, recall), Revisão manual dos resultados",2,"Linguagem estruturada (texto), Ferramentas de Gerenciamento de Projetos (Jira, Trello ou Asana), Reuniões de Alinhamento","Inconsistência entre diferentes fontes de dados, Dados incompletos ou ausentes, Falta de padronização nos formatos de dados",2,Brazil,Northeast,Brazil,Senior (10+ years),Developer,male,25-34,Doctorate,ensures_consistency_traceability,4,Senior (10+ years)
pt,2025-02-15 14:00:37,Aceito participar,CE,6,5,5,5,5,5,4,5,3,4,4,balanceamento,atualização,viés,escalabilidade,granularidade,"Já participei de projetos de diversas aplicações, metodologias e tecnologias usadas. Projetos de dados na área de engenharia analise e ciencia de dados para principalmente economia, educação, saúde",4,4,5,5,5,3,4,4,4,4,3,3,3,"Se os dados forem uma bagunça, o modelo só vai cuspir lixo sofisticado",4,4,5,5,5,3,4,4,4,4,3,3,3,,"o segredo é encontrar o ponto ideal entre complexidade e praticidade, garantindo um modelo robusto e utilizável","Avaliação inicial durante a coleta e preparação de dados, Monitoramento contínuo durante todo o ciclo de vida do modelo, Conjuntos de testes são aplicados para validar a consistência, completude e precisão dos dados antes de serem usados no treinamento.","Testes A/B, Análise de métricas de performance (ex.: precisão, recall)",4,"Linguagem estruturada (texto), Ferramentas de Gerenciamento de Projetos (Jira, Trello ou Asana), Reuniões de Alinhamento","Dados incompletos ou ausentes, Falta de padronização nos formatos de dados, Dados desatualizados ou não confiáveis, Erros introduzidos durante a coleta e processamento, Dificuldade na rastreabilidade e versionamento dos dados",2,Brazil,Northeast,Brazil,Full (6 to 9 years),Data Scientist,male,25-34,Undergraduate,ensures_consistency_traceability,3,Full (6 to 9 years)
pt,2025-02-18 17:56:17,Aceito participar,CE,1,,,,,,,,,,,confiabilidade,validade,trasparência,consistência,relevância,"Registro formal dos requisitos em documentos detalhados, que podem incluir especificações funcionais e não funcionais, casos de uso.",5,4,5,4,4,4,5,5,5,4,4,5,5,,5,5,5,5,4,4,5,5,5,5,4,5,5,,"Cada decisão deve ser baseada no contexto específico do projeto e nos objetivos finais, garantindo que a qualidade dos dados seja mantida sem sacrificar outras necessidades críticas.",Avaliação inicial durante a coleta e preparação de dados,"Análise de métricas de performance (ex.: precisão, recall)",3,"Ferramentas de Gerenciamento de Projetos (Jira, Trello ou Asana)",Inconsistência entre diferentes fontes de dados,2,Brazil,Northeast,Brazil,Trainee,Developer,female,18-24,Master's student,ensures_consistency_traceability,1,Trainee
pt,2025-02-19 10:55:46,Aceito participar,PR,0,1,1,1,1,1,1,1,1,1,1,qualidade,completude,precisão,eficiência,eficácia,"Ainda não tive experiência com requisitos em projetos maiores,  apenas em trabalhos acadêmicos.",5,5,5,4,4,3,4,4,5,4,4,5,5,,5,5,5,4,4,4,5,5,3,3,3,3,3,,Não sei descrever ,Não existe uma estratégia formal para assegurar a qualidade dos dados durante o desenvolvimento.,"Análise de métricas de performance (ex.: precisão, recall)",2,Reuniões de Alinhamento,"Dados incompletos ou ausentes, Falta de padronização nos formatos de dados, Dados desatualizados ou não confiáveis, Erros introduzidos durante a coleta e processamento, Falta de ferramentas adequadas para validação da qualidade dos dados",1,Brazil,South,Brazil,Junior (up to 5 years),Developer,male,35-44,Undergraduate,ensures_consistency_traceability,2,Junior (up to 5 years)
