respondent_id,characteristic,importance
0,precision,4
1,precision,5
2,precision,5
3,precision,5
4,precision,5
5,precision,5
6,precision,5
7,precision,4
8,precision,5
9,precision,5
10,precision,5
11,precision,5
12,precision,5
13,precision,5
14,precision,5
15,precision,4
16,precision,5
17,precision,5
18,precision,1
19,precision,5
20,precision,5
21,precision,5
22,precision,5
23,precision,5
24,precision,4
25,precision,5
26,precision,5
27,precision,5
28,precision,5
29,precision,5
30,precision,5
31,precision,5
32,precision,4
33,precision,5
34,precision,4
35,precision,5
36,precision,4
37,precision,3
38,precision,5
39,precision,4
40,precision,5
41,precision,5
42,precision,5
43,precision,4
44,precision,4
45,precision,4
46,precision,4
47,precision,4
48,precision,5
49,precision,5
50,precision,2
51,precision,5
52,precision,5
53,precision,5
54,precision,5
55,precision,5
0,completeness,4
1,completeness,4
2,completeness,5
3,completeness,4
4,completeness,5
5,completeness,5
6,completeness,5
7,completeness,4
8,completeness,4
9,completeness,5
10,completeness,5
11,completeness,5
12,completeness,4
13,completeness,4
14,completeness,4
15,completeness,2
16,completeness,5
17,completeness,5
18,completeness,2
19,completeness,5
20,completeness,5
21,completeness,5
22,completeness,5
23,completeness,4
24,completeness,4
25,completeness,5
26,completeness,5
27,completeness,5
28,completeness,5
29,completeness,5
30,completeness,5
31,completeness,4
32,completeness,4
33,completeness,5
34,completeness,4
35,completeness,4
36,completeness,4
37,completeness,5
38,completeness,5
39,completeness,4
40,completeness,4
41,completeness,5
42,completeness,4
43,completeness,5
44,completeness,4
45,completeness,4
46,completeness,5
47,completeness,5
48,completeness,5
49,completeness,5
50,completeness,4
51,completeness,5
52,completeness,4
53,completeness,5
54,completeness,4
55,completeness,4
0,consistency,4
1,consistency,5
2,consistency,5
3,consistency,5
4,consistency,5
5,consistency,5
6,consistency,5
7,consistency,5
8,consistency,5
9,consistency,5
10,consistency,5
11,consistency,4
12,consistency,5
13,consistency,4
14,consistency,5
15,consistency,4
16,consistency,5
17,consistency,5
18,consistency,1
19,consistency,5
20,consistency,4
21,consistency,4
22,consistency,5
23,consistency,5
24,consistency,4
25,consistency,5
26,consistency,5
27,consistency,5
28,consistency,5
29,consistency,5
30,consistency,5
31,consistency,5
32,consistency,5
33,consistency,3
34,consistency,5
35,consistency,5
36,consistency,5
37,consistency,4
38,consistency,5
39,consistency,5
40,consistency,5
41,consistency,4
42,consistency,5
43,consistency,4
44,consistency,3
45,consistency,4
46,consistency,3
47,consistency,4
48,consistency,3
49,consistency,4
50,consistency,4
51,consistency,4
52,consistency,5
53,consistency,4
54,consistency,5
55,consistency,5
0,credibility,4
1,credibility,5
2,credibility,5
3,credibility,5
4,credibility,5
5,credibility,5
6,credibility,4
7,credibility,5
8,credibility,4
9,credibility,4
10,credibility,5
11,credibility,5
12,credibility,5
13,credibility,4
14,credibility,5
15,credibility,4
16,credibility,5
17,credibility,5
18,credibility,1
19,credibility,5
20,credibility,4
21,credibility,4
22,credibility,5
23,credibility,5
24,credibility,5
25,credibility,5
26,credibility,5
27,credibility,5
28,credibility,5
29,credibility,5
30,credibility,5
31,credibility,5
32,credibility,4
33,credibility,5
34,credibility,5
35,credibility,5
36,credibility,5
37,credibility,2
38,credibility,5
39,credibility,5
40,credibility,5
41,credibility,5
42,credibility,5
43,credibility,4
44,credibility,4
45,credibility,5
46,credibility,3
47,credibility,3
48,credibility,4
49,credibility,5
50,credibility,4
51,credibility,5
52,credibility,4
53,credibility,5
54,credibility,5
