respondent_id,characteristic,priority
0,precision,4
1,precision,5
2,precision,4
3,precision,5
4,precision,5
5,precision,5
6,precision,5
7,precision,4
8,precision,5
9,precision,5
10,precision,4
11,precision,5
12,precision,4
13,precision,5
14,precision,5
15,precision,4
16,precision,5
17,precision,5
18,precision,2
19,precision,3
20,precision,5
21,precision,5
22,precision,4
23,precision,5
24,precision,5
25,precision,5
26,precision,4
27,precision,5
28,precision,5
29,precision,4
30,precision,5
31,precision,5
32,precision,4
33,precision,5
34,precision,4
35,precision,5
36,precision,4
37,precision,4
38,precision,5
39,precision,4
40,precision,4
41,precision,5
42,precision,5
43,precision,3
44,precision,4
45,precision,5
46,precision,4
47,precision,3
48,precision,5
49,precision,5
50,precision,4
51,precision,5
52,precision,5
53,precision,5
54,precision,5
55,precision,5
0,completeness,4
1,completeness,4
2,completeness,4
3,completeness,4
4,completeness,5
5,completeness,5
6,completeness,4
7,completeness,4
8,completeness,5
9,completeness,5
10,completeness,4
11,completeness,5
12,completeness,4
13,completeness,5
14,completeness,3
15,completeness,3
16,completeness,5
17,completeness,5
18,completeness,1
19,completeness,3
20,completeness,5
21,completeness,4
22,completeness,4
23,completeness,4
24,completeness,3
25,completeness,5
26,completeness,5
27,completeness,5
28,completeness,5
29,completeness,4
30,completeness,4
31,completeness,4
32,completeness,4
33,completeness,5
34,completeness,3
35,completeness,3
36,completeness,4
37,completeness,5
38,completeness,5
39,completeness,4
40,completeness,4
41,completeness,5
42,completeness,4
43,completeness,5
44,completeness,4
45,completeness,3
46,completeness,3
47,completeness,4
48,completeness,5
49,completeness,5
50,completeness,5
51,completeness,5
52,completeness,4
53,completeness,5
54,completeness,4
55,completeness,3
0,consistency,4
1,consistency,5
2,consistency,4
3,consistency,5
4,consistency,5
5,consistency,5
6,consistency,4
7,consistency,5
8,consistency,5
9,consistency,5
10,consistency,5
11,consistency,4
12,consistency,5
13,consistency,5
14,consistency,4
15,consistency,4
16,consistency,5
17,consistency,5
18,consistency,1
19,consistency,3
20,consistency,4
21,consistency,4
22,consistency,5
23,consistency,5
24,consistency,5
25,consistency,5
26,consistency,5
27,consistency,5
28,consistency,5
29,consistency,4
30,consistency,4
31,consistency,5
32,consistency,5
33,consistency,3
34,consistency,3
35,consistency,4
36,consistency,5
37,consistency,3
38,consistency,5
39,consistency,5
40,consistency,4
41,consistency,4
42,consistency,4
43,consistency,4
44,consistency,3
45,consistency,4
46,consistency,3
47,consistency,5
48,consistency,2
49,consistency,3
50,consistency,4
51,consistency,4
52,consistency,5
53,consistency,5
54,consistency,5
55,consistency,5
0,credibility,4
1,credibility,5
2,credibility,5
3,credibility,5
4,credibility,3
5,credibility,5
6,credibility,5
7,credibility,5
8,credibility,5
9,credibility,4
10,credibility,5
11,credibility,5
12,credibility,5
13,credibility,5
14,credibility,3
15,credibility,4
16,credibility,5
17,credibility,5
18,credibility,1
19,credibility,3
20,credibility,4
21,credibility,4
22,credibility,5
23,credibility,5
24,credibility,5
25,credibility,5
26,credibility,5
27,credibility,5
28,credibility,5
29,credibility,4
30,credibility,5
31,credibility,5
32,credibility,4
33,credibility,5
34,credibility,5
35,credibility,3
36,credibility,5
37,credibility,2
38,credibility,5
39,credibility,5
40,credibility,5
41,credibility,5
42,credibility,5
43,credibility,4
44,credibility,3
45,credibility,4
46,credibility,3
47,credibility,4
48,credibility,3
49,credibility,5
50,credibility,5
51,credibility,5
52,credibility,4
53,credibility,5
54,credibility,5
